DATAFLOW,LAST UPDATE,freq,unit,sex,indic_he,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2019,62.8,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2020,64.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2021,64.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Belgium,2022,63.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2006,71.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2007,73.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2008,65.7,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2009,65.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2010,67.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2011,65.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2012,65.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2013,66.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2014,66.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2015,65.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2016,67.5,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2017,66.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2018,67.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2019,68.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2020,67.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2021,65.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Bulgaria,2022,68.9,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2007,63.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2008,64.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2009,63.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2010,63.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2011,64.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2012,67.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2013,58.4,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2014,56.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2015,57.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2016,57.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2017,59.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2018,59.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2019,60.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2020,60.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2021,59.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Switzerland,2022,56.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2005,58.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2006,63.3,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2007,62.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2008,64.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2009,65.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2010,64.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2011,61.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2012,64.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2013,65.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2014,66.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2015,63.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2016,68.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2017,65.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2018,62.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2019,63.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2020,63.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2021,66.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Cyprus,2022,66.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2005,60.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2006,59.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2007,63.3,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2008,63.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2009,62.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2010,64.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2011,63.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2012,64.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2013,64.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2014,65.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2015,63.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2016,64.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2017,62.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2018,63.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2019,62.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2020,62.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2021,63.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Czechia,2022,62.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2005,54.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2006,58.3,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2007,58.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2008,57.7,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2009,58.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2010,58.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2011,58.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2012,57.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2013,57.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2014,56.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2015,67.5,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2016,67.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2017,66.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2018,66.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2019,67.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2020,66.8,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2021,66.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Germany,2022,61.2,bu
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2004,69.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2005,68.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2006,67.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2007,67.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2008,60.8,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2009,60.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2010,61.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2011,59.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2012,61.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2013,60.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2014,61.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2015,57.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2016,60.3,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2017,59.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2018,59.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2019,58.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2020,57.7,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2021,54.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Denmark,2022,54.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2004,53.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2005,52.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2006,53.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2007,54.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2008,57.5,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2009,59.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2010,58.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2011,57.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2012,57.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2013,57.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2014,57.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2015,56.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2016,59.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2017,57.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2018,55.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2019,57.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2020,59.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2021,58,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Estonia,2022,60.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2004,65.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2005,67.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2006,68.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2007,67.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2008,66.2,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2009,66.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2010,67.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2011,66.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2012,64.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2013,65.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2014,64.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2015,64.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2016,64.7,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2017,65.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2018,65.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2019,66.4,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2020,66.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2021,66.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Greece,2022,67.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2004,62.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2005,63.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2006,63.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2007,63.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2008,63.7,b
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2009,62.2,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2010,63.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2011,65.6,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2012,65.8,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2013,63.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2014,65.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2015,64.1,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2016,66.5,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2017,69.9,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2018,68.0,
ESTAT:HLTH_HLYE(1.0),11/06/24 23:00:00,Annual,Year,Females,Healthy life years in absolute value at birth,Spain,2019,70.4,
